r1,r2,r3
edge,impoundment_size_and_type_of_release,increased_turbulence
edge,impoundment_size_and_type_of_release,decreased_oxygen_in_discharged_waters
edge,increased_turbulence,increased_aeration
edge,increased_aeration,increased_dissolved_oxygen__water_or_sediment
edge,decreased_oxygen_in_discharged_waters,decreased_dissolved_oxygen__water_or_sediment
edge,increased_chemical_oxygen_demand,decreased_dissolved_oxygen__water_or_sediment
edge,increased_biochemical_oxygen_demand,decreased_dissolved_oxygen__water_or_sediment
edge,increased_temperature,decreased_oxygen_solubility
edge,increased_ionic_strength,decreased_oxygen_solubility
edge,increased_sediment,decreased_interstitial_flow
edge,altered_flow,decreased_water_velocity__mode_of_action
edge,decreased_oxygen_solubility,decreased_dissolved_oxygen__water_or_sediment
edge,decreased_interstitial_flow,decreased_dissolved_oxygen__water_or_sediment
edge,decreased_dissolved_oxygen__water_or_sediment,increased_reduction__decreased_Eh
edge,decreased_dissolved_oxygen__water_or_sediment,increased_respiratory_stress
edge,decreased_dissolved_oxygen__water_or_sediment,increased_DO_fluctuation__water_or_sediment
edge,decreased_water_velocity__mode_of_action,decreased_oxygen_delivery
edge,decreased_oxygen_delivery,increased_respiratory_stress
edge,increased_DO_fluctuation__water_or_sediment,increased_respiratory_stress
edge,increased_respiratory_stress,change_in_behavior
edge,increased_respiratory_stress,increased_mortality
edge,increased_dissolved_oxygen__water_or_sediment,increased_oxygen_supersaturation
edge,increased_dissolved_oxygen__water_or_sediment,increased_oxidation__increased_Eh
edge,increased_oxygen_supersaturation,increased_gas_bubble_trauma
edge,increased_oxidation__increased_Eh,increased_metal_solubility
edge,increased_metal_solubility,increased_metals
edge,increased_metals,change_in_population_and_community_structure
edge,increased_gas_bubble_trauma,increased_mortality
edge,change_in_behavior,increased_ventilatory_movements
edge,change_in_behavior,increased_gasping_at_water_surface
edge,change_in_behavior,change_in_other_behaviors
edge,increased_reduction__decreased_Eh,increased_phosphate_solubility
edge,increased_reduction__decreased_Eh,change_in_population_and_community_structure
edge,increased_phosphate_solubility,increased_phosphorus
edge,increased_phosphorus,change_in_population_and_community_structure
edge,increased_ventilatory_movements,change_in_population_and_community_structure
edge,increased_ventilatory_movements,increased_mortality
edge,increased_gasping_at_water_surface,change_in_population_and_community_structure
edge,increased_gasping_at_water_surface,increased_mortality
edge,change_in_other_behaviors,change_in_population_and_community_structure
edge,change_in_other_behaviors,increased_mortality
edge,increased_mortality,change_in_population_and_community_structure
edge,change_in_population_and_community_structure,change_in_ecosystem_processes
edge,change_in_population_and_community_structure,increased_fish_kills
edge,change_in_population_and_community_structure,decreased_sensitive_life_stages
edge,change_in_population_and_community_structure,decreased_sensitive_taxa
edge,change_in_population_and_community_structure,increased_tolerant_taxa
edge,change_in_population_and_community_structure,increased_tolerant_life_stages
edge,change_in_population_and_community_structure,change_in_other_characteristics
